,sotre,sido,gungu,store_address
864,서울은평구불광점,서울,은평구,서울특별시은평구불광로197
865,서울은평구신사점,서울,은평구,서울특별시은평구증산로17길8-1
866,서울은평구역촌점,서울,은평구,서울특별시은평구역말로7길3-2
867,서울은평구응암점,서울,은평구,서울특별시은평구응암로286
868,서울종로구광화문점[B],서울,종로구,서울특별시종로구사직로8길20
869,서울종로구독립문점,서울,종로구,서울특별시종로구통일로262
870,서울종로구종로점,서울,종로구,서울종로구수표로26길12파고다빌딩1층
871,서울종로구창신점[B],서울,종로구,서울특별시종로구지봉로62
872,서울종로구혜화점,서울,종로구,서울특별시종로구명륜길5
873,서울중구신당2점,서울,중구,서울중구청구로17길77
874,서울중구을지로점,서울,중구,서울중구퇴계로51길19
875,서울중구중림점,서울,중구,서울특별시중구중림로10
876,서울중랑구망우점,서울,중랑구,서울특별시중랑구용마산로493
877,서울중랑구면목1동점,서울,중랑구,서울중랑구사가정로49길43
878,서울중랑구면목2점,서울,중랑구,서울특별시중랑구망우로30길34
879,서울중랑구면목3점,서울,중랑구,서울중랑구용마산로89길16
880,서울중랑구묵2동점,서울,중랑구,서울특별시중랑구동일로163길36
881,서울중랑구상봉1점,서울,중랑구,서울중랑구봉화산로52길73
882,서울중랑구신내1점,서울,중랑구,서울중랑구신내로135
883,서울중랑구용마산역점,서울,중랑구,서울중랑구면목로21길22
884,서울중랑구중화점,서울,중랑구,서울중랑구동일로123길91
885,세종시아름동아름점,세종,세종시,세종특별자치시보듬3로95
886,세종시한솔동세종첫마을점,세종,세종시,세종특별자치시누리로59
887,울산남구달동점,울산,남구,울산남구신정로58번길32
888,울산남구무거2호점,울산,남구,울산남구삼호로55번길6
889,울산남구삼산점,울산,남구,울산남구삼산로241번길35-1
890,울산남구신정점,울산,남구,울산남구월평로58
891,울산남구야음2점,울산,남구,울산남구신선로71-3
892,울산남구야음점,울산,남구,울산남구수암로196번길7
893,울산남구옥동점,울산,남구,울산남구문수로423번길4-37
894,울산남구울산대점,울산,남구,울산남구대학로43번길16
895,울산동구남목점,울산,중구,울산동구미포4길38
896,울산동구방어점,울산,동구,울산동구화잠2길4
897,울산동구전하점,울산,동구,울산동구진성13길92
898,울산동구화정점,울산,동구,울산동구월봉8길41
899,울산북구강동점,울산,북구,울산북구산하동강동산하지구81-10BL퀸스타운101호
